name,location,rating,votes,cost_for_two,online_order,book_table,rest_type,primary_cuisine,price_range
Delicious Ice Cream Parlour,Jeevan Bhima Nagar,3.2,6,300.0,No,No,Dessert Parlor,Ice Cream,Budget
Kanti's,Thippasandra,3.1,64,300.0,No,No,Sweet Shop,Mithai,Budget
Bhikaram Chandmal Bhujiawala,Jeevan Bhima Nagar,3.7,70,200.0,No,No,Quick Bites,North Indian,Budget
Cafe Oleiva,Thippasandra,3.4,6,500.0,No,No,Cafe,Cafe,High-End
Chill Out,Thippasandra,3.4,9,150.0,No,No,Beverage Shop,Juices,Budget
The Pizza Bakery,Indiranagar,4.8,1785,1200.0,Yes,Yes,Casual Dining,Italian,Luxury
Corner House Ice Cream,Indiranagar,4.7,2174,400.0,Yes,No,Dessert Parlor,Ice Cream,Medium
Lavonne,Indiranagar,4.4,1132,800.0,No,No,"Cafe, Dessert Parlor",Cafe,Luxury
Smoor,Indiranagar,4.6,1732,900.0,Yes,No,"Dessert Parlor, Cafe",Desserts,Luxury
Lazy Suzy,Indiranagar,4.3,1258,1000.0,Yes,Yes,"Cafe, Bakery",Cafe,Luxury
Natural Ice Cream,Indiranagar,4.6,945,200.0,No,No,Dessert Parlor,Ice Cream,Budget
Chaipatty,Indiranagar,3.0,1275,,No,No,Cafe,Cafe,Medium
Waffle Magic,Indiranagar,4.2,592,700.0,No,No,Cafe,Cafe,Luxury
XO Belgian Waffle,Indiranagar,4.4,96,400.0,Yes,No,Dessert Parlor,Desserts,Medium
GMT - Gelateria Montecatini Terme,Indiranagar,4.4,282,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Keventers,Indiranagar,4.0,571,400.0,Yes,No,"Beverage Shop, Dessert Parlor",Beverages,Medium
Mama Mia!,Indiranagar,4.3,429,400.0,Yes,No,"Dessert Parlor, Cafe",Desserts,Medium
Gobble Up Churros Cafe,Indiranagar,4.3,379,400.0,Yes,No,Dessert Parlor,Street Food,Medium
Bite Me Cupcakes,Indiranagar,4.2,631,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Brownie Heaven,Indiranagar,4.3,132,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Chantilly,Indiranagar,4.1,124,450.0,Yes,No,"Cafe, Bakery",Cafe,High-End
Django,Indiranagar,4.0,220,800.0,Yes,Yes,Quick Bites,Beverages,Luxury
eat.fit,Indiranagar,3.9,42,300.0,Yes,Yes,Quick Bites,Healthy Food,Budget
Tuffreys,CV Raman Nagar,3.6,25,250.0,Yes,No,Dessert Parlor,Desserts,Budget
The Waffles Hut,Indiranagar,4.0,42,400.0,Yes,No,Dessert Parlor,Desserts,Medium
Warm Oven,Domlur,4.3,895,500.0,Yes,No,Delivery,Bakery,High-End
Namdhari's Salad Bar,Indiranagar,3.9,82,400.0,No,No,Quick Bites,Salad,Medium
The Rolling Pin,Indiranagar,4.1,76,400.0,No,No,"Bakery, Dessert Parlor",Bakery,Medium
The Ganache Factory,Domlur,4.1,42,400.0,Yes,No,"Dessert Parlor, Bakery",Desserts,Medium
Salt Mango Tree,Indiranagar,4.2,255,800.0,Yes,Yes,Casual Dining,Kerala,Luxury
Grubhouse,Indiranagar,4.1,338,800.0,Yes,No,"Casual Dining, Cafe",Cafe,Luxury
Eddy's Cafe,Indiranagar,4.1,142,750.0,Yes,No,Cafe,Cafe,Luxury
Cream Stone,Indiranagar,4.2,743,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Lahe Lahe Santhe,Indiranagar,3.8,20,300.0,No,No,Cafe,Cafe,Budget
Roll Over,Indiranagar,4.2,217,500.0,Yes,No,Dessert Parlor,Ice Cream,High-End
Krispy Kreme,Indiranagar,4.1,261,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Lakeview Milkbar,Indiranagar,2.9,544,600.0,No,No,"Dessert Parlor, Cafe",Fast Food,High-End
Madhu Iyengars Bakery,Domlur,3.6,19,400.0,No,No,Bakery,Bakery,Medium
Ice Creamist,Indiranagar,,0,300.0,Yes,No,Takeaway,Ice Cream,Budget
The Belgian Waffle Co.,Indiranagar,4.0,74,350.0,Yes,No,Dessert Parlor,Desserts,Medium
Shree Mithai,Indiranagar,3.5,11,,No,No,Quick Bites,Desserts,Medium
Premium Bombay Kulfi,Indiranagar,3.5,11,100.0,Yes,No,Kiosk,Ice Cream,Budget
The French Loaf,Indiranagar,3.5,137,400.0,Yes,No,"Bakery, Quick Bites",Bakery,Medium
All Shook Up!,Domlur,3.9,77,300.0,Yes,No,"Dessert Parlor, Beverage Shop",Desserts,Budget
Bombay Kulfi,Indiranagar,3.7,21,,No,No,Dessert Parlor,Desserts,Medium
Under The Tree,Domlur,3.0,64,200.0,Yes,No,Dessert Parlor,Desserts,Budget
Troll,Indiranagar,3.8,103,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Chai Cafe,Indiranagar,3.9,49,200.0,No,No,Cafe,Cafe,Budget
La Madeleine Patisserie,Indiranagar,3.9,71,200.0,No,No,"Takeaway, Delivery",Bakery,Budget
Wats Ur Scoop?,Indiranagar,4.0,56,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Just Kulfi,Jeevan Bhima Nagar,3.5,8,400.0,Yes,No,Dessert Parlor,Ice Cream,Medium
Tempteys,Indiranagar,4.1,135,300.0,Yes,No,"Dessert Parlor, Beverage Shop",Desserts,Budget
Nandhana Mithai,Indiranagar,,0,500.0,No,No,Sweet Shop,Mithai,High-End
Breadworks,Indiranagar,2.9,48,500.0,Yes,No,"Bakery, Cafe",Bakery,High-End
New Udupi Fresh Juice Centre,CV Raman Nagar,3.4,9,200.0,No,No,Quick Bites,Juices,Budget
New Shanthi Sagar,Domlur,2.8,119,450.0,No,No,Casual Dining,North Indian,High-End
Stand View Cake N Snack,Indiranagar,,0,300.0,No,No,Takeaway,Fast Food,Budget
Oven Fresh,Domlur,,0,600.0,No,No,Bakery,Bakery,High-End
Omm Sweets & Snacks,Indiranagar,,0,100.0,Yes,No,Sweet Shop,Mithai,Budget
KrumbKraft,Domlur,3.5,6,300.0,No,No,Bakery,Bakery,Budget
Melting Spot,Indiranagar,4.0,134,600.0,No,No,"Cafe, Dessert Parlor",Cafe,High-End
Neffy's - Cakes & More,Indiranagar,3.5,24,300.0,No,No,Bakery,Bakery,Budget
Choco Allure,Indiranagar,3.4,5,300.0,No,No,"Takeaway, Delivery",Desserts,Budget
Fudgy Love Designer Cakes,Domlur,3.7,20,600.0,No,No,"Bakery, Dessert Parlor",Bakery,High-End
Cafe Velvette,Domlur,3.5,11,400.0,No,No,"Cafe, Dessert Parlor",Cafe,Medium
Sweet Mansion,Indiranagar,,0,200.0,No,No,Bakery,Bakery,Budget
Cake Inc.,Domlur,,0,450.0,No,No,Bakery,Bakery,High-End
Cream and Bakes,Domlur,3.5,14,100.0,No,No,Dessert Parlor,Desserts,Budget
Bombay Kulfis,Jeevan Bhima Nagar,3.3,4,200.0,No,No,Dessert Parlor,Ice Cream,Budget
Taantraa - Organic Handbaking,Indiranagar,3.7,28,350.0,No,No,Delivery,Bakery,Medium
Big Pitcher,Old Airport Road,4.6,9300,1800.0,No,Yes,"Pub, Microbrewery",American,Luxury
Citrus - The Leela Palace,Old Airport Road,4.2,597,3500.0,No,Yes,Fine Dining,North Indian,Luxury
Jamavar - The Leela Palace,Old Airport Road,4.2,522,4000.0,No,Yes,Fine Dining,North Indian,Luxury
Zaitoon,Old Airport Road,4.3,2037,1000.0,Yes,Yes,Casual Dining,BBQ,Luxury
CloudNYN - Sterling Mac Hotel,Old Airport Road,4.0,417,1000.0,No,No,Bar,Finger Food,Luxury
Limelight - Royal Orchid Hotel,Old Airport Road,3.9,428,2200.0,No,Yes,Fine Dining,Continental,Luxury
20 Char - Sterlings MAC Hotel,Old Airport Road,4.0,427,1400.0,No,Yes,"Casual Dining, Bar",Chinese,Luxury
Tiger Trail - Royal Orchid Hotel,Old Airport Road,4.1,312,2000.0,No,Yes,Fine Dining,North Indian,Luxury
Hyderabad Biryaani House,Old Airport Road,3.9,1627,700.0,Yes,No,Casual Dining,Biryani,Luxury
Le Cirque Signature - The Leela Palace,Old Airport Road,4.3,128,6000.0,No,Yes,Fine Dining,French,Luxury
Zen - The Leela Palace,Old Airport Road,4.2,247,3500.0,No,Yes,Fine Dining,Thai,Luxury
XU,Old Airport Road,3.9,433,2400.0,No,Yes,"Club, Casual Dining",European,Luxury
Hello Resto-Pub,Old Airport Road,4.1,348,900.0,Yes,Yes,"Casual Dining, Pub",Continental,Luxury
Shebestan - Sterlings MAC Hotel,Old Airport Road,4.2,407,1500.0,No,Yes,Casual Dining,Arabian,Luxury
Nizam's Biryani House,Old Airport Road,,0,700.0,Yes,No,Casual Dining,Hyderabadi,Luxury
Rahhams,Old Airport Road,2.8,420,700.0,Yes,No,Casual Dining,Mughlai,Luxury
Odia Dine,Old Airport Road,3.8,52,400.0,Yes,No,Quick Bites,Oriya,Medium
Suchithra Biryani House,Old Airport Road,3.7,288,450.0,No,No,Casual Dining,Andhra,High-End
Shanmukha,Old Airport Road,3.8,149,800.0,Yes,No,Casual Dining,Biryani,Luxury
Sri Udupi Park,Old Airport Road,3.7,449,300.0,Yes,No,Casual Dining,South Indian,Budget
Budget Food,Old Airport Road,3.5,42,700.0,No,Yes,Casual Dining,North Indian,Luxury
New Udupi Garden,Old Airport Road,3.6,14,300.0,No,No,Quick Bites,South Indian,Budget
One Chu Restaurant,Old Airport Road,3.9,327,600.0,Yes,No,Casual Dining,Chinese,High-End
Brown Crust Cafe,Old Airport Road,3.2,19,300.0,No,No,Cafe,Cafe,Budget
Status,Old Airport Road,3.6,120,550.0,Yes,No,Casual Dining,Chinese,High-End
Gurukrupa Paratha House,Old Airport Road,3.9,644,400.0,Yes,No,Quick Bites,North Indian,Medium
Kolkata Famous Kati Rolls,Old Airport Road,3.4,8,150.0,No,No,Kiosk,Fast Food,Budget
Pizza Hut,Old Airport Road,3.7,399,750.0,Yes,No,Casual Dining,Pizza,Luxury
Oyster Bay,Old Airport Road,3.2,5,550.0,No,No,Casual Dining,North Indian,High-End
Ginseng - Royal Orchid Hotel,Old Airport Road,3.9,172,1900.0,No,Yes,Fine Dining,Chinese,Luxury
Library Bar - The Leela Palace,Old Airport Road,3.9,109,3000.0,No,No,Lounge,Finger Food,Luxury
WAT Bar - Sterlings MAC Hotel,Old Airport Road,3.8,47,1800.0,No,No,Lounge,Continental,Luxury
Java,Old Airport Road,3.7,39,700.0,No,No,Casual Dining,North Indian,Luxury
Simhapuri Mess,Old Airport Road,3.8,39,300.0,No,No,Mess,North Indian,Budget
Breezes - Hotel Pigeon International,Old Airport Road,3.5,23,900.0,No,No,Casual Dining,North Indian,Luxury
Palki Restaurant,Old Airport Road,2.8,97,500.0,No,No,Casual Dining,North Indian,High-End
Chit Chat Cafe,Old Airport Road,,0,150.0,No,No,"Beverage Shop, Quick Bites",Beverages,Budget
Sri Udupi,Old Airport Road,,0,400.0,Yes,No,Quick Bites,South Indian,Medium
Frozen Bite,Old Airport Road,,0,250.0,Yes,No,Beverage Shop,Beverages,Budget
The Spice Box,Old Airport Road,3.6,30,800.0,No,No,Casual Dining,North Indian,Luxury
J's Pastas and Pizzas,Old Airport Road,4.0,143,300.0,No,No,,Fast Food,Budget
Om Shakti Hotel,Old Airport Road,,0,200.0,No,No,Quick Bites,South Indian,Budget
Cafe Coffee Day,Old Airport Road,2.8,34,900.0,Yes,No,Cafe,Cafe,Luxury
Chatora Singh,Old Airport Road,3.9,44,200.0,Yes,No,Quick Bites,North Indian,Budget
KFC,Old Airport Road,3.9,332,400.0,Yes,No,Quick Bites,Burger,Medium
Chef's Cap Chinese Cuisine Restaurant,Old Airport Road,3.9,37,400.0,Yes,No,Quick Bites,Chinese,Medium
Ramji Chaiwale,Old Airport Road,3.9,124,250.0,Yes,No,Quick Bites,Beverages,Budget
Hotel Salala,Old Airport Road,3.8,73,400.0,No,No,Quick Bites,North Indian,Medium
Bhookha Sher,Old Airport Road,3.2,35,350.0,Yes,No,Quick Bites,North Indian,Medium
The Punjabi Bites,Old Airport Road,3.9,82,150.0,No,No,Quick Bites,North Indian,Budget
Sri Udupi Park,Old Airport Road,4.0,141,300.0,No,No,Quick Bites,South Indian,Budget
Amar Kolkata,Old Airport Road,3.2,6,300.0,Yes,No,Quick Bites,Bengali,Budget
Domino's Pizza,Old Airport Road,2.8,413,400.0,Yes,No,Quick Bites,Pizza,Medium
Ambur Hot Dum Biryani,Old Airport Road,3.1,47,200.0,Yes,No,Quick Bites,Biryani,Budget
New Punjabi Hotel,Old Airport Road,3.2,393,400.0,Yes,No,Quick Bites,North Indian,Medium
Grand Hotel,Old Airport Road,3.6,57,500.0,Yes,No,Quick Bites,Hyderabadi,High-End
Shankar's Kitchen,Old Airport Road,,0,120.0,No,No,Quick Bites,Sandwich,Budget
The Chocolate Heaven,Old Airport Road,3.8,139,700.0,Yes,No,"Dessert Parlor, Cafe",Desserts,Luxury
Madurai Idly Shop,Old Airport Road,3.4,17,200.0,No,No,Quick Bites,South Indian,Budget
New Royal Paris Restaurant,Old Airport Road,3.4,14,300.0,No,No,Quick Bites,Chinese,Budget
McDonald's,Old Airport Road,3.0,167,500.0,Yes,No,Quick Bites,Burger,High-End
Faasos,Old Airport Road,3.9,104,500.0,Yes,No,Quick Bites,North Indian,High-End
Mummy's Kitchen,Old Airport Road,3.7,16,300.0,Yes,No,Quick Bites,North Indian,Budget
Zawaa Foods,Old Airport Road,3.5,42,400.0,Yes,No,Quick Bites,Continental,Medium
Crispy Fried Chicken,Old Airport Road,3.4,12,150.0,Yes,No,Quick Bites,Burger,Budget
Andhra Ruchulu,Old Airport Road,4.0,52,400.0,Yes,No,Quick Bites,Andhra,Medium
L'inoui - The Leela Palace,Old Airport Road,3.5,9,400.0,No,No,Dessert Parlor,Desserts,Medium
MR Mess,Old Airport Road,,0,300.0,No,No,Quick Bites,South Indian,Budget
Nukkad Point,Old Airport Road,,0,150.0,No,No,Quick Bites,North Indian,Budget
Nandini Andhra Style Mess,Old Airport Road,3.4,28,350.0,No,No,Quick Bites,North Indian,Medium
Bismillah Ambur Biryani,Old Airport Road,,0,150.0,No,No,Quick Bites,Biryani,Budget
Tawakkal Mubarak Hotel,Old Airport Road,,0,350.0,No,No,Quick Bites,Mughlai,Medium
Indira Canteen,Old Airport Road,,0,300.0,No,No,Quick Bites,South Indian,Budget
Rolls & Biryani,Old Airport Road,,0,250.0,No,No,Quick Bites,Rolls,Budget
Peter's Food Junction,Old Airport Road,,0,250.0,No,No,Quick Bites,Fast Food,Budget
Kisna Cafe,Old Airport Road,3.6,12,300.0,Yes,No,Quick Bites,South Indian,Budget
Meat And Eat (ME),Old Airport Road,3.6,97,500.0,No,No,Quick Bites,Fast Food,High-End
Shree Durga,Old Airport Road,3.2,7,500.0,No,No,Quick Bites,North Indian,High-End
Mac Fast Food,Old Airport Road,2.8,50,400.0,No,No,Quick Bites,Fast Food,Medium
Amrutha Foods,Old Airport Road,,0,300.0,No,No,Quick Bites,South Indian,Budget
Nandanavanam,Old Airport Road,3.3,6,300.0,No,No,Quick Bites,South Indian,Budget
Sathkar Refershments,Old Airport Road,,0,500.0,No,No,Quick Bites,South Indian,High-End
RJ Food Plaza,Old Airport Road,3.1,6,200.0,No,No,Quick Bites,North Indian,Budget
Daily Bread,Old Airport Road,3.0,5,600.0,No,No,"Bakery, Quick Bites",Bakery,High-End
Kolkatta Famous Kati Rolls,Old Airport Road,3.2,15,200.0,No,No,Quick Bites,Chinese,Budget
AMBUR HOT DUM BIRYANI,Old Airport Road,,0,300.0,No,No,Quick Bites,Biryani,Budget
Hotel Raravees,Old Airport Road,,0,400.0,No,No,Quick Bites,North Indian,Medium
Desi Bytes,Old Airport Road,3.1,97,450.0,Yes,No,Quick Bites,North Indian,High-End
Royal Kitchen,Old Airport Road,3.4,57,,No,No,Quick Bites,Biryani,Medium
Srinidhi Sagar,Old Airport Road,3.9,164,250.0,Yes,No,Quick Bites,South Indian,Budget
Burger Bite House,Old Airport Road,3.1,4,500.0,Yes,No,Quick Bites,Burger,High-End
Ambur Biriyani,Old Airport Road,3.2,4,200.0,No,No,Quick Bites,Biryani,Budget
Nagli Veg & Non Veg,Old Airport Road,,0,150.0,No,No,Quick Bites,North Indian,Budget
CraveBelly Veg & Non veg,Old Airport Road,,0,150.0,No,No,Quick Bites,North Indian,Budget
Plantain Leaf,Thippasandra,3.9,531,600.0,Yes,No,Casual Dining,Andhra,High-End
Rannaghar,Jeevan Bhima Nagar,3.9,144,600.0,Yes,No,Casual Dining,North Indian,High-End
Beijing Bites,Jeevan Bhima Nagar,3.2,292,850.0,Yes,No,Casual Dining,Chinese,Luxury
Bekal,Jeevan Bhima Nagar,4.0,283,700.0,Yes,No,Casual Dining,Kerala,Luxury
The Biryanis,Jeevan Bhima Nagar,3.8,427,500.0,Yes,No,Casual Dining,Andhra,High-End
Mani's Dum Biryani,Jeevan Bhima Nagar,4.0,691,750.0,Yes,No,Casual Dining,Biryani,Luxury
Talk Over Table,Jeevan Bhima Nagar,4.0,288,500.0,No,No,Cafe,Cafe,High-End
Mood For Food,Jeevan Bhima Nagar,4.0,151,800.0,Yes,No,Casual Dining,North Indian,Luxury
Delicacy,Jeevan Bhima Nagar,3.9,652,500.0,Yes,No,Casual Dining,Chinese,High-End
Green Pepper,Jeevan Bhima Nagar,3.9,262,600.0,Yes,No,Casual Dining,Seafood,High-End
Chaai Resto,Jeevan Bhima Nagar,,0,200.0,No,No,"Cafe, Quick Bites",Cafe,Budget
Coast,Jeevan Bhima Nagar,3.2,108,750.0,Yes,No,Casual Dining,Seafood,Luxury
Red Chilliez,Thippasandra,3.5,217,650.0,Yes,No,Casual Dining,North Indian,High-End
Donne Biriyani Mane,Jeevan Bhima Nagar,3.8,163,400.0,Yes,No,Quick Bites,Biryani,Medium
Jaishree Pavilion,Thippasandra,3.7,36,700.0,No,No,Casual Dining,North Indian,Luxury
Sree Spicy Hub,Jeevan Bhima Nagar,3.9,234,600.0,Yes,No,Casual Dining,Andhra,High-End
Bengaluru House,Jeevan Bhima Nagar,3.7,45,500.0,No,No,Casual Dining,South Indian,High-End
Swaadpurna,Jeevan Bhima Nagar,3.6,51,450.0,Yes,No,Casual Dining,North Indian,High-End
Malabar,Jeevan Bhima Nagar,3.0,162,400.0,Yes,No,Quick Bites,Kerala,Medium
Fazzito Kitchen,Thippasandra,3.8,210,700.0,No,No,Casual Dining,North Indian,Luxury
Sri Ganesh Fruit Juice Centre,Thippasandra,3.5,19,100.0,Yes,No,Beverage Shop,Juices,Budget
Savoury Express,Jeevan Bhima Nagar,3.6,32,800.0,Yes,No,Casual Dining,Arabian,Luxury
HomeDeli Kitchen,Jeevan Bhima Nagar,3.0,401,600.0,Yes,No,,North Indian,High-End
Night Booze,Thippasandra,3.2,8,600.0,No,No,"Casual Dining, Bar",North Indian,High-End
Sandras Bar & Restaurant,Thippasandra,3.3,11,600.0,No,No,Casual Dining,North Indian,High-End
Kaayal,Jeevan Bhima Nagar,3.2,254,500.0,Yes,No,Casual Dining,Kerala,High-End
Sree Abhiruchi,Thippasandra,3.4,6,400.0,No,No,Quick Bites,Andhra,Medium
Serenitea4u,Jeevan Bhima Nagar,3.4,9,100.0,No,No,"Beverage Shop, Quick Bites",Beverages,Budget
Haveli,Thippasandra,3.6,22,300.0,No,No,Casual Dining,North Indian,Budget
Ambur Hot Dum Biriyani,Jeevan Bhima Nagar,3.1,6,200.0,No,No,Quick Bites,Biryani,Budget
Rahaman's Mess,Thippasandra,,0,200.0,No,No,Mess,Kerala,Budget
Aahar Cafe,Thippasandra,,0,300.0,No,No,Cafe,Cafe,Budget
Nawabi Kitchen,Thippasandra,,0,600.0,No,No,Casual Dining,North Indian,High-End
9th Cross Cafe,Jeevan Bhima Nagar,3.6,12,550.0,No,No,Cafe,Cafe,High-End
Crunch Pizzas,Thippasandra,2.8,92,600.0,Yes,No,,Italian,High-End
Chakh Le Foods,Jeevan Bhima Nagar,3.4,258,500.0,Yes,Yes,Casual Dining,North Indian,High-End
Aathurar,Jeevan Bhima Nagar,3.3,584,600.0,Yes,No,Casual Dining,Chettinad,High-End
Kerala Vibes,Jeevan Bhima Nagar,3.6,80,500.0,No,No,Casual Dining,Kerala,High-End
Leon Grill,Jeevan Bhima Nagar,4.2,1345,500.0,Yes,No,Quick Bites,Burger,High-End
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Thippasandra,4.4,596,800.0,Yes,No,Quick Bites,Fast Food,Luxury
Chandni Chowk 2 Bangalore,Jeevan Bhima Nagar,4.2,253,400.0,Yes,No,Quick Bites,North Indian,Medium
Motis Kitchen,Thippasandra,4.1,563,350.0,Yes,No,Quick Bites,South Indian,Medium
Cafe Grill,Jeevan Bhima Nagar,4.1,506,300.0,Yes,No,Quick Bites,Chinese,Budget
Samosa Party,Jeevan Bhima Nagar,4.1,374,150.0,Yes,No,Quick Bites,Street Food,Budget
Spicy Corner,Jeevan Bhima Nagar,3.9,190,250.0,Yes,No,Quick Bites,Street Food,Budget
Red Kitchen,Jeevan Bhima Nagar,3.4,155,200.0,Yes,No,Quick Bites,North Indian,Budget
Snacks Joint,Jeevan Bhima Nagar,3.7,186,150.0,Yes,No,Quick Bites,Fast Food,Budget
Bharpur Aahar,Jeevan Bhima Nagar,3.9,419,200.0,Yes,No,Quick Bites,North Indian,Budget
Taza Tawa,Jeevan Bhima Nagar,3.8,170,550.0,Yes,No,Quick Bites,North Indian,High-End
Laddoos,Jeevan Bhima Nagar,2.9,228,250.0,Yes,No,"Quick Bites, Dessert Parlor",North Indian,Budget
Hotel Karavali,Jeevan Bhima Nagar,3.7,265,450.0,Yes,No,Quick Bites,Biryani,High-End
Johny's Kitchen,Jeevan Bhima Nagar,4.1,60,300.0,Yes,No,Quick Bites,North Indian,Budget
Goli Vada Pav No. 1,Thippasandra,3.0,31,200.0,Yes,No,Quick Bites,Street Food,Budget
Chai Resto,Jeevan Bhima Nagar,3.4,6,200.0,No,No,Quick Bites,Fast Food,Budget
Swaad,Jeevan Bhima Nagar,3.2,30,200.0,Yes,No,Quick Bites,North Indian,Budget
Bob's Restaurant,Jeevan Bhima Nagar,4.0,331,500.0,Yes,No,Quick Bites,North Indian,High-End
Sagar Deluxe,Jeevan Bhima Nagar,3.4,161,350.0,Yes,No,Quick Bites,South Indian,Medium
Khushi Kitchen,Thippasandra,3.5,76,400.0,Yes,No,Quick Bites,Street Food,Medium
Calcutta Victoria Chat House,Jeevan Bhima Nagar,3.6,219,150.0,No,No,Quick Bites,Street Food,Budget
Nizaam's Kaati Rolls & Kebabs,Jeevan Bhima Nagar,3.7,112,450.0,Yes,No,Quick Bites,Street Food,High-End
Shri Krishna Bhavan,Thippasandra,3.7,96,350.0,No,No,Quick Bites,South Indian,Medium
Rotti Mane,Thippasandra,3.6,18,200.0,Yes,No,Quick Bites,South Indian,Budget
Omleterian,Thippasandra,,0,200.0,Yes,No,Quick Bites,American,Budget
Delicious Treat,Thippasandra,,0,200.0,No,No,Quick Bites,Fast Food,Budget
No More Hungry,Jeevan Bhima Nagar,3.3,214,450.0,Yes,No,"Takeaway, Delivery",North Indian,High-End
Brea,Jeevan Bhima Nagar,3.4,34,300.0,Yes,No,Bakery,Bakery,Budget
Aysha Restaurant,Jeevan Bhima Nagar,,0,200.0,No,No,Quick Bites,North Indian,Budget
Desi Bites,Thippasandra,,0,200.0,No,No,Quick Bites,North Indian,Budget
Mukati Kitchen,Thippasandra,3.7,133,500.0,Yes,No,Quick Bites,North Indian,High-End
Snack'Ups,Thippasandra,3.5,62,250.0,Yes,No,Quick Bites,Fast Food,Budget
Refresh,Thippasandra,,0,150.0,No,No,Quick Bites,Fast Food,Budget
Hungry Darjeeling Chinese and Thai,Thippasandra,,0,400.0,Yes,No,Quick Bites,Chinese,Medium
SKY FOG,Thippasandra,3.1,6,300.0,No,No,"Dessert Parlor, Quick Bites",Desserts,Budget
Amrutha Sweets,Thippasandra,3.7,38,200.0,No,No,Quick Bites,Street Food,Budget
Mary Cafe,Thippasandra,3.3,17,150.0,No,No,Quick Bites,Chinese,Budget
Biryani Club,Jeevan Bhima Nagar,2.9,31,400.0,No,No,Quick Bites,South Indian,Medium
Bhikaram Chandmal Bhujiawala,Jeevan Bhima Nagar,3.7,70,200.0,No,No,Quick Bites,North Indian,Budget
Bangalore Grill House,Thippasandra,3.2,6,300.0,No,No,Quick Bites,Arabian,Budget
Srinidhi Hotel,Thippasandra,,0,140.0,No,No,Quick Bites,North Indian,Budget
Bun Maska Chai,Jeevan Bhima Nagar,3.9,122,250.0,Yes,No,Quick Bites,Street Food,Budget
Ambur Hot Dum Biriyani & Kabab Center,Thippasandra,,0,200.0,No,No,Quick Bites,Biryani,Budget
Home Touch Hotel,Jeevan Bhima Nagar,3.2,4,150.0,No,No,Quick Bites,South Indian,Budget
Biryani Palace,Jeevan Bhima Nagar,3.2,7,200.0,No,No,Quick Bites,Biryani,Budget
Krish Punjabi Kitchen,Thippasandra,3.6,17,500.0,No,No,Quick Bites,North Indian,High-End
Donne Biryani Angadi Mane,Thippasandra,3.1,8,250.0,No,No,Quick Bites,Biryani,Budget
Sri Lakshmi Darshini,Thippasandra,3.4,5,150.0,No,No,Quick Bites,South Indian,Budget
Banarasi Tadka,Jeevan Bhima Nagar,2.7,16,200.0,No,No,Quick Bites,North Indian,Budget
Roti Shotti,Jeevan Bhima Nagar,3.8,62,400.0,Yes,No,Quick Bites,North Indian,Medium
Thunder Fried Chicken,Jeevan Bhima Nagar,3.6,181,350.0,Yes,No,Quick Bites,North Indian,Medium
The Spicy Kitchen,Thippasandra,3.1,17,300.0,Yes,No,Quick Bites,Arabian,Budget
ONS Food,Thippasandra,,0,150.0,No,No,Quick Bites,North Indian,Budget
Barbeque Nation,Indiranagar,4.7,7270,1600.0,No,Yes,Casual Dining,North Indian,Luxury
Bob's Bar,Indiranagar,4.3,548,1000.0,No,No,"Bar, Casual Dining",South Indian,Luxury
Dindigul Thalappakatti,Indiranagar,4.3,328,800.0,Yes,No,Casual Dining,Biryani,Luxury
Burma Burma,Indiranagar,4.7,1677,1500.0,Yes,No,Casual Dining,Asian,Luxury
Bombay Brasserie,Indiranagar,4.4,1909,1800.0,Yes,No,Casual Dining,Modern Indian,Luxury
Vapour Pub & Brewery,Indiranagar,4.2,6998,1400.0,No,Yes,"Microbrewery, Pub",North Indian,Luxury
Nevermind - Bar & Social,Indiranagar,4.4,221,2000.0,No,Yes,"Bar, Casual Dining",Continental,Luxury
The Fatty Bao - Asian Gastro Bar,Indiranagar,4.6,3823,1200.0,Yes,No,"Casual Dining, Bar",Japanese,Luxury
Delhi Highway,Indiranagar,4.4,3439,1500.0,Yes,Yes,Casual Dining,North Indian,Luxury
LOFT38,Indiranagar,4.3,3659,1900.0,No,Yes,"Lounge, Casual Dining",Italian,Luxury
The Black Rabbit,Indiranagar,4.3,4239,1500.0,No,Yes,"Bar, Casual Dining",Continental,Luxury
1131 Bar + Kitchen,Indiranagar,4.4,2861,1500.0,No,Yes,"Bar, Casual Dining",Continental,Luxury
The Pizza Bakery,Indiranagar,4.8,1785,1200.0,Yes,Yes,Casual Dining,Italian,Luxury
Smoke House Deli,Indiranagar,4.6,5448,1600.0,Yes,Yes,Casual Dining,European,Luxury
Tipsy Bull - The Bar Exchange,Indiranagar,4.6,3173,1400.0,No,Yes,"Bar, Casual Dining",Chinese,Luxury
Chianti,Indiranagar,4.6,4453,1500.0,No,Yes,Casual Dining,Italian,Luxury
Sly Granny - The Community House,Indiranagar,4.5,980,2500.0,No,Yes,"Fine Dining, Bar",Modern Indian,Luxury
